📺央视频道,#genre#
CCTV-9,http://114.95.156.205:4022/rtp/239.45.3.4:5140
CCTV-9,http://123.157.31.182:7912/rtp/233.50.201.121:5140
CCTV-9,http://114.252.236.205:8000/rtp/239.3.1.62:8112
CCTV-9,http://114.240.224.31:3000/rtp/239.3.1.62:8112
CCTV-9,http://114.253.57.101:10000/rtp/239.3.1.62:8112
CCTV-9,http://183.66.15.138:4070/rtp/235.254.198.58:1508
CCTV-9,http://112.255.69.58:6666/rtp/239.253.254.79:8000
CCTV-9,http://49.79.3.119:8890/rtp/239.49.8.133:6000
CCTV-9,http://117.86.49.151:7777/rtp/239.49.8.133:6000
CCTV-9,http://117.86.50.46:7777/rtp/239.49.8.133:6000
CCTV-10,http://114.95.156.205:4022/rtp/239.45.3.8:5140
CCTV-10,http://123.157.31.182:7912/rtp/233.50.201.122:5140
CCTV-10,http://114.252.236.205:8000/rtp/239.3.1.63:8116
CCTV-10,http://114.240.224.31:3000/rtp/239.3.1.63:8116
CCTV-10,http://114.253.57.101:10000/rtp/239.3.1.63:8116
CCTV-10,http://183.66.15.138:4070/rtp/235.254.198.59:1512
CCTV-10,http://112.255.69.58:6666/rtp/239.253.254.234:8000
CCTV-10,http://49.79.3.119:8890/rtp/239.49.8.134:6000
CCTV-10,http://117.86.49.151:7777/rtp/239.49.8.134:6000
CCTV-10,http://117.86.50.46:7777/rtp/239.49.8.134:6000
CCTV-11,http://114.95.156.205:4022/rtp/239.45.1.196:5140
CCTV-11,http://123.157.31.182:7912/rtp/233.50.201.11:5140
CCTV-11,http://114.252.236.205:8000/rtp/239.3.1.152:8120
CCTV-11,http://114.240.224.31:3000/rtp/239.3.1.152:8120
CCTV-11,http://114.253.57.101:10000/rtp/239.3.1.152:8120
CCTV-11,http://183.66.15.138:4070/rtp/235.254.198.7:1304
CCTV-11,http://112.255.69.58:6666/rtp/239.253.254.169:8000
CCTV-11,http://49.79.3.119:8890/rtp/239.49.1.11:6000
CCTV-11,http://117.86.49.151:7777/rtp/239.49.1.11:6000
CCTV-11,http://117.86.50.46:7777/rtp/239.49.1.11:6000
CCTV-12,http://114.95.156.205:4022/rtp/239.45.3.10:5140
CCTV-12,http://123.157.31.182:7912/rtp/233.50.201.123:5140
CCTV-12,http://114.252.236.205:8000/rtp/239.3.1.64:8124
CCTV-12,http://114.240.224.31:3000/rtp/239.3.1.64:8124
CCTV-12,http://114.253.57.101:10000/rtp/239.3.1.64:8124
CCTV-12,http://183.66.15.138:4070/rtp/235.254.198.60:1516
CCTV-12,http://112.255.69.58:6666/rtp/239.253.254.235:8000
CCTV-12,http://49.79.3.119:8890/rtp/239.49.8.135:6000
CCTV-12,http://117.86.49.151:7777/rtp/239.49.8.135:6000
CCTV-12,http://117.86.50.46:7777/rtp/239.49.8.135:6000
CCTV-13,http://114.95.156.205:4022/rtp/239.45.1.198:5140
CCTV-13,http://123.157.31.182:7912/rtp/233.50.201.246:5140
CCTV-13,http://114.252.236.205:8000/rtp/239.3.1.124:8128
CCTV-13,http://114.240.224.31:3000/rtp/239.3.1.124:8128
CCTV-13,http://114.253.57.101:10000/rtp/239.3.1.124:8128
